MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
677.71,7.13,1,9,11,107.81,407.98,2,50,5.0
513.96,4.42,0,7,5,88.1,309.13,1,36,8.060480747
496.85,4.41,2,6,6,87.58,298.85,0,34,8.397940009
446.91,4.28,1,7,8,68.74,268.77,0,31,5.173925197
532.57,4.46,1,6,4,65.77,320.61,1,39,6.347656945
525.66,5.16,2,8,12,87.55,316.44,2,39,8.821023053
529.78,6.5,2,6,6,94.6,318.08,2,33,5.0
473.37,4.16,1,7,6,68.74,284.4,0,30,7.301029996
484.56,4.52,2,5,6,90.98,291.69,0,36,5.0
454.51,5.59,4,5,6,94.06,273.6,1,34,8.0
360.41,2.8,5,6,6,111.05,216.97,0,26,5.301029996
302.31,1.44,3,7,3,115.87,182.01,0,22,6.139063379
478.92,4.73,1,7,5,85.17,288.03,0,34,5.0
386.22,4.25,1,3,4,54.88,231.94,0,24,9.160019442
416.91,4.86,2,6,7,85.37,250.7,0,29,5.0
443.35,3.67,2,7,7,75.2,266.33,0,28,9.0
326.79,3.43,1,4,5,59.81,196.44,0,23,6.026872146
286.16,2.9,1,3,1,44.7,171.71,0,18,6.599997654
374.24,3.66,2,6,2,89.85,224.73,0,23,7.346787486
447.5,3.21,1,9,7,102.49,269.39,0,33,5.167491087
546.47,1.9,5,8,13,201.18,329.01,1,38,4.036212173
